file,churn,total_complexity,average_method_complexity
app/services/middleware_topology_service.rb,3,47.0,6.7
app/models/orchestration_template.rb,3,153.1,6.7
lib/rbac/filterer.rb,3,441.0,12.2
app/models/manageiq/providers/openstack/cloud_manager/vnf.rb,3,76.5,15.3
lib/miq_automation_engine/service_models/miq_ae_service_orchestration_template_vnfd.rb,3,7.4,3.7
app/models/session.rb,3,79.7,11.4
app/services/ansible_tower_job_template_dialog_service.rb,3,93.0,9.3
app/models/live_metric.rb,3,122.1,11.1
app/models/miq_policy.rb,3,544.3,15.6
lib/evm_database.rb,3,175.0,10.9
app/models/manageiq/providers/kubernetes/container_manager/metrics_capture/capture_context.rb,3,228.8,12.7
app/models/database_backup.rb,3,95.0,9.5
app/models/cloud_service.rb,3,33.6,4.2
app/models/vm_or_template/operations/relocation.rb,3,119.4,11.9
app/models/miq_action.rb,3,1557.6,27.8
db/fixtures/ae_datastore/ManageIQ/System/CommonMethods/QuotaMethods.class/__methods__/requested.rb,3,269.0,7.9
app/models/manageiq/providers/openstack/cloud_manager/vm/operations/relocation.rb,3,35.5,7.1
app/models/availability_zone.rb,3,36.6,7.3
gems/pending/spec/appliance_console/database_configuration_spec.rb,3,1031.5,16.9
app/models/miq_worker.rb,3,606.3,8.4
app/models/miq_group.rb,3,227.8,9.1
