file,churn,total_complexity,average_method_complexity
app/helpers/vm_cloud_helper/textual_summary.rb,17,261.7,7.7
app/helpers/vm_helper/textual_summary.rb,17,789.9,9.6
app/presenters/explorer_presenter.rb,21,188.2,6.3
app/presenters/menu/default_menu.rb,12,399.4,21.0
app/presenters/tree_builder.rb,26,279.4,9.3
app/presenters/tree_builder_catalog_items.rb,3,61.3,10.2
app/presenters/tree_builder_clusters.rb,8,83.1,13.8
app/presenters/tree_builder_condition.rb,3,33.2,6.6
app/presenters/tree_builder_configuration_manager.rb,6,66.5,6.7
app/presenters/tree_builder_configuration_manager_configuration_scripts.rb,4,14.6,2.9
app/presenters/tree_builder_containers.rb,3,20.3,4.1
app/presenters/tree_builder_default_filters.rb,4,56.8,9.5
app/presenters/tree_builder_images.rb,3,20.5,4.1
app/presenters/tree_builder_instances.rb,3,37.9,6.3
app/presenters/tree_builder_network.rb,4,51.3,7.3
app/presenters/tree_builder_ops_rbac.rb,3,41.9,7.0
app/presenters/tree_builder_ops_vmdb.rb,3,70.1,11.7
app/presenters/tree_builder_orchestration_templates.rb,4,23.7,4.7
app/presenters/tree_builder_policy.rb,6,77.3,9.7
app/presenters/tree_builder_policy_simulation.rb,3,179.4,15.0
app/presenters/tree_builder_policy_simulation_results.rb,6,135.2,9.7
app/presenters/tree_builder_protect.rb,3,55.1,11.0
app/presenters/tree_builder_report_dashboards.rb,3,58.3,9.7
app/presenters/tree_builder_service_catalog.rb,3,27.2,5.4
app/presenters/tree_builder_service_dialogs.rb,3,26.9,3.8
app/presenters/tree_builder_services.rb,4,21.4,4.3
app/presenters/tree_builder_snapshots.rb,3,54.9,6.9
app/presenters/tree_builder_utilization.rb,4,121.3,15.2
app/presenters/tree_builder_vandt.rb,3,58.2,8.3
app/presenters/tree_kids.rb,3,26.7,6.7
app/presenters/tree_node_builder.rb,12,1031.8,28.7
